incident_id,scam_type,attack_vector,ai_used,loss_amount_usd,victim_type,detection_method,was_detected,was_successful,location,behavioral_flag,time_of_attack
7dbb8fe0-d1d2-401a-8560-2fd852264a3f,SMS Phishing,Email,No,300.89,Retail Customer,Law Enforcement,Yes,No,US,Unusual Login,Morning
90e7b4fa-eacb-4a59-90b7-1a8efe07eba5,Deepfake Video Scam,Video,Yes,278953.89,Fintech User,Manual Report,No,Yes,Australia,Odd Hours Activity,Morning
15d6e260-5340-45e4-8c37-0e5693e27fca,Voice Phishing,Website,No,2399.32,Bank Employee,AI Detection,Yes,No,US,Odd Hours Activity,Evening
0455a764-be27-4eb9-ab13-e16b5f2e7adf,Fake Bank App,Email,No,212343.55,Fintech User,AI Detection,No,Yes,South America,Odd Hours Activity,Afternoon
58f01b0f-a5a3-43f6-ab6b-278617819d8c,SMS Phishing,Email,Yes,9866.99,Business Owner,AI Detection,No,Yes,Asia,None,Evening
d1a47146-5336-4d64-a2ad-517516524712,Voice Phishing,Social Media,No,703.16,Retail Customer,Law Enforcement,Yes,Yes,EU,None,Night
f252c5a6-6ba9-40c9-9ddf-720300118c98,Fake Bank App,Video,No,22.9,Retail Customer,Bank Flag,No,Yes,Asia,Unusual Login,Afternoon
5fabcf52-c09e-4ccc-84c0-271f82069928,Social Media Scam,Video,No,89621.48,Fintech User,Manual Report,No,Yes,EU,High Transfer Volume,Evening
e451b7cb-a500-411b-b2c3-5f7be009c298,Impersonation Fraud,Website,No,997.59,Business Owner,Law Enforcement,No,Yes,US,Unusual Login,Morning
3b041e92-41ed-4049-ac13-f9983d051cb8,Voice Phishing,Phone Call,No,157174.94,Fintech User,Law Enforcement,No,Yes,Australia,Odd Hours Activity,Morning
d6492660-f758-4a6e-8b53-c9f52de28527,SMS Phishing,App,No,29.35,Business Owner,User Realization,Yes,No,Australia,High Transfer Volume,Morning
83a4bff5-5206-4b54-a244-a5936c825920,Fake Bank App,Video,Yes,7862.6,Retail Customer,Law Enforcement,No,Yes,Africa,Unusual Login,Morning
28fd156e-bd55-44de-b559-afbcfe8845f0,Social Media Scam,App,Yes,24.09,Retail Customer,AI Detection,No,Yes,US,High Transfer Volume,Afternoon
bb1a736a-2cac-43f7-bfce-60118976d6cf,Fake Investment Scam,Phone Call,No,885189.74,Fintech User,Manual Report,Yes,No,Africa,Odd Hours Activity,Night
3a15f722-53b8-45b9-9a89-4b236b638179,Fake Investment Scam,SMS,Yes,157.62,Retail Customer,Law Enforcement,Yes,Yes,US,Unusual Login,Morning
14da5db1-1ee1-4fa0-845b-c1d97e630646,Deepfake Video Scam,SMS,Yes,1637.72,Business Owner,Bank Flag,No,Yes,EU,High Transfer Volume,Night
ffd3453e-bfb7-41b3-880c-7379c4017eb1,Deepfake Video Scam,In-person,No,184.89,Fintech User,Bank Flag,No,Yes,Africa,None,Morning
74ce66e8-eeb2-4544-9171-6a89975476fe,SMS Phishing,Email,No,8205.33,Retail Customer,Manual Report,Yes,Yes,Australia,None,Afternoon
98417391-f339-447f-8984-42706d54bf31,Impersonation Fraud,Phone Call,No,32482.58,Retail Customer,User Realization,Yes,Yes,South America,Unusual Login,Morning
c67ae7ba-c820-4c11-8e3f-f2dd29c5176c,Deepfake Video Scam,Phone Call,No,53322.26,Fintech User,AI Detection,Yes,No,US,None,Evening
1d1a7013-8694-4679-bed8-b11e4f3cfa4d,Fake Investment Scam,App,No,695684.18,Fintech User,Manual Report,Yes,No,EU,Unusual Login,Morning
3917629c-4650-4d57-80f4-e0b2ca5828fb,Social Media Scam,Email,Yes,529109.67,Business Owner,AI Detection,Yes,Yes,US,Unusual Login,Afternoon
